BUG.AX,16.48M,0.38
BUL.AX,26.24M,0.023
BUR.AX,4.40M,0.02
BUX.AX,6.19M,0.07
BUY.AX,8.58M,0.009
BWF.AX,32.76M,0.65
BWP.AX,2.32B,3.61
BWR.AX,72.02B,1.55
BWX.AX,436.99M,4.82
BXB.AX,20.57B,13.03
BXN.AX,4.91M,0.025
BYE.AX,27.97M,0.145
BYI.AX,73.62M,1.20
BYL.AX,16.50M,0.13
BYR.AX,20.13M,0.026
BZL.AX,N/A,0.004
CAA.AX,49.84M,0.105
CAB.AX,381.38M,3.17
CAD.AX,3.86M,0.002
CAE.AX,1.95M,0.021
CAF.AX,58.23M,0.38
CAJ.AX,88.92M,0.17
CAM.AX,71.32M,0.78
CAP.AX,7.03M,0.061
CAQ.AX,94.97M,0.145
CAR.AX,3.02B,12.52
CAS.AX,20.43M,0.12
CAT.AX,327.89M,2.72
CAV.AX,5.14M,0.02
CAY.AX,13.40M,0.087
CAZ.AX,10.44M,0.08
CBA.AX,131.79B,77.39
CBC.AX,22.12M,0.91
CBL.AX,522.04M,2.40
CBQ.AX,987357.06,0.001
CBS.AX,1.06M,0.034
CCB.AX,N/A,N/A
CCC.AX,N/A,0.001
CCJ.AX,1.13M,0.006
CCL.AX,6.93B,9.08
CCP.AX,579.85M,12.40
CCV.AX,221.64M,0.46
CCZ.AX,3.38M,0.016
CDA.AX,205.39M,1.16
CDB.AX,1.06M,0.009
CDC.AX,169.00M,0.26
CDD.AX,156.25M,0.89
CDG.AX,13.82M,0.05
CDH.AX,1.56M,0.012
CDM.AX,356.95M,1.33
CDP.AX,581.00M,8.30
CDT.AX,1.57M,0.012
CDU.AX,N/A,0.505
CDV.AX,39.79M,0.23
CDY.AX,19.50M,0.021
CEL.AX,12.32M,0.035
CEN.AX,3.22B,4.45
CFE.AX,15.67M,0.025
CFF.AX,N/A,N/A
CFU.AX,N/A,0.004
CGC.AX,953.45M,2.99
CGF.AX,5.17B,9.20
CGL.AX,210.67M,4.50
CGM.AX,1.33M,0.002
CGN.AX,15.58M,0.069
CGO.AX,12.54M,0.34
CGR.AX,17.85M,0.19
CGS.AX,87.99M,0.80
CGW.AX,813.14M,0.585
CHC.AX,2.13B,5.20
CHF.AX,1.33M,0.013
CHJ.AX,N/A,N/A
CHK.AX,2.50M,0.022
CHN.AX,47.78M,0.165
CHP.AX,4.29M,0.003
CHR.AX,23.98M,3.15
CHU.AX,N/A,N/A
CHZ.AX,3.94M,0.033
CIA.AX,49.58M,0.25
CIE.AX,N/A,0.94
CII.AX,233.47M,2.02
CIK.AX,15.07M,0.19
CIM.AX,12.80B,37.97
CIN.AX,844.52M,31.90
CIW.AX,31.95M,0.65
CIZ.AX,4.98M,0.02
CJC.AX,956662.00,0.007
CKA.AX,13.48M,0.027
CKF.AX,401.76M,4.32
CL1.AX,352.80M,3.02
CL8.AX,6.56M,0.018
CLA.AX,N/A,N/A
CLH.AX,157.03M,1.18
CLQ.AX,129.58M,0.31
CLT.AX,9.65M,0.18
CLV.AX,91.78M,0.55
CLX.AX,54.39M,0.80
CLY.AX,512508.03,0.002
CLZ.AX,1.23M,0.004
CM8.AX,30.12M,0.195
CMA.AX,257.92B,2.16
CMC.AX,3.16M,0.016
CMI.AX,34.66M,1.00
CMM.AX,19.74M,0.115
CMP.AX,63.89M,0.38
CMT.AX,3.00M,0.039
CMW.AX,1.80B,1.03
CMY.AX,6.10M,0.008
CND.AX,18.81M,0.21
CNG.AX,N/A,N/A
CNI.AX,84.61M,1.10
CNJ.AX,4.26M,0.028
CNL.AX,N/A,0.01
CNQ.AX,11.44M,0.031
CNU.AX,1.57B,3.81
CNW.AX,N/A,0.033
CNX.AX,16.37M,0.011
COE.AX,76.75M,0.23
COH.AX,6.39B,111.84
COI.AX,33.68M,0.064
COK.AX,N/A,0.001
COM.AX,13.62M,0.019
COO.AX,24.06M,0.094
COY.AX,2.70M,0.007
CPD.AX,4.44M,0.055
CPU.AX,5.63B,10.26
CQC.AX,4.21M,0.008
CQR.AX,1.93B,4.81
CR8.AX,1.97M,0.038
CRB.AX,25.20M,0.18
CRI.AX,N/A,N/A
CRL.AX,2.26M,0.026
CRM.AX,N/A,0.18
CRQ.AX,2.17M,0.022
CSD.AX,N/A,0.025
CSE.AX,40.92M,0.385
CSL.AX,51.30B,110.85
CSN.AX,N/A,N/A
CSR.AX,N/A,3.56
CSS.AX,40.90M,0.037
CSV.AX,443.52M,1.39
CTD.AX,1.49B,15.31
CTE.AX,8.93M,0.19
CTH.AX,N/A,N/A
CTM.AX,3.16M,0.006
CTN.AX,147.97M,0.925
CTO.AX,27.86M,0.016
CTP.AX,40.72M,0.094
CTR.AX,3.38M,0.059
CTU.AX,N/A,N/A
CTX.AX,9.23B,34.20
CUE.AX,43.28M,0.062
CUF.AX,N/A,N/A
CUH.AX,N/A,N/A
CUL.AX,6.65M,0.004
CUP.AX,75.04M,0.68
CUV.AX,196.04M,4.40
CUX.AX,1.96M,0.005
CV1.AX,53.09M,0.29
CVC.AX,188.86M,1.58
CVE.AX,6.97M,0.007
CVG.AX,N/A,0.01
CVN.AX,122.25M,0.11
CVO.AX,460.38M,1.45
CVR.AX,N/A,0.001
CVS.AX,3.28M,0.011
CVT.AX,133.92M,0.29
CVV.AX,3.59M,0.08
CVW.AX,505.23M,0.94
CWC.AX,480.90M,0.67
CWE.AX,68.46M,0.038
CWH.AX,N/A,0.135
CWN.AX,8.76B,12.02
CWP.AX,369.21M,4.68
CWY.AX,1.24B,0.785
CXM.AX,20.17M,0.064
CXO.AX,6.99M,0.04
CXU.AX,19.52M,0.072
CXX.AX,40.48M,0.30
CXZ.AX,15.72M,0.18
CYA.AX,65.90M,0.805
CYB.AX,541.34M,4.35
CYC.AX,38.43M,0.645
CYG.AX,40.86M,1.08
CYL.AX,31.13M,0.59
CYP.AX,26.55M,0.365
CYU.AX,4.73M,0.008
CYY.AX,10.43M,0.038
CZA.AX,109.84M,0.057
CZI.AX,8.62M,0.039
CZL.AX,10.47M,0.044
CZN.AX,3.53M,0.008
CZR.AX,17.52M,0.01
CZZ.AX,181.65M,21.13
D13.AX,45.71M,0.11
DAE.AX,N/A,N/A
DAF.AX,2.01B,0.01
DAO.AX,N/A,N/A
DAQ.AX,N/A,N/A
DAU.AX,3.83M,0.04
DBN.AX,N/A,N/A
DCC.AX,28.50M,0.16
DCG.AX,124.02M,0.73
DCN.AX,275.30M,2.08
DDD.AX,1.66M,0.006
DDR.AX,293.38M,1.84
DDT.AX,15.97M,0.021
DEG.AX,8.58M,0.003
DFM.AX,870.30M,2.23
DGH.AX,25.97M,0.71
DGO.AX,1.07M,0.185
DGR.AX,15.42M,0.028
DGX.AX,4.79M,0.01
DHR.AX,2.99M,0.005
DIG.AX,24.94M,0.26
DJW.AX,883.10M,4.04
DKM.AX,19.39M,0.235
DKO.AX,14.86M,0.17
DLC.AX,3.80M,0.006
DLE.AX,619278.00,0.003
DLX.AX,2.44B,6.40
DM1.AX,17.03M,0.064
DMA.AX,22.41M,0.058
DMC.AX,84.51M,0.14
DME.AX,105.01M,0.46
DMG.AX,5.80M,0.022
DMI.AX,2.13M,0.07
DMP.AX,5.95B,68.00
DNA.AX,436.39M,0.525
DNK.AX,52.73M,0.30
DOW.AX,1.65B,3.87
DRA.AX,22.21M,0.25
DRG.AX,2.67M,0.025
DRK.AX,1.36M,0.002
DRM.AX,271.21M,0.975
DRO.AX,N/A,N/A
DRX.AX,8.10M,0.01
DSB.AX,5.24M,0.11
DSH.AX,N/A,0.355
DSX.AX,11.01M,0.06
DTI.AX,30.70M,0.335
DTL.AX,155.36M,1.01
DTM.AX,3.12M,0.012
DTR.AX,1.01M,0.01
DTX.AX,13.08M,0.45
DUB.AX,46.50M,0.60
DUE.AX,5.36B,2.31
DUI.AX,687.00M,3.32
DVA.AX,36.48M,0.615
DVI.AX,13.04M,0.018
DVL.AX,56.97M,0.38
DVN.AX,87.30M,0.55
DWS.AX,154.24M,1.17
DXA.AX,N/A,N/A
DXB.AX,9.27M,0.007
DXF.AX,400.00M,0.80
DXS.AX,8.30B,8.57
DYE.AX,89.48M,0.24
DYL.AX,7.05M,0.004
E88.AX,53.72M,1.43
EAI.AX,96.00B,0.80
EAL.AX,11.23M,0.082
EAR.AX,26.48M,0.19
EAS.AX,43.88M,1.60
EAX.AX,31.79M,1.225
EBG.AX,24.03M,0.07
EBO.AX,2.22B,14.70
ECG.AX,160.50M,0.30
ECO.AX,4.64M,0.006
ECX.AX,805.49M,3.44
EDE.AX,305.05M,0.305
EEG.AX,5.51M,0.016
EER.AX,1.43M,0.004
EFE.AX,1.53M,0.01
EGG.AX,94.68M,1.15
EGH.AX,146.38M,0.70
EGI.AX,N/A,0.97
EGL.AX,3.72M,0.018
EGN.AX,27.98M,0.09
EGO.AX,31.69M,0.31
EGS.AX,26.65M,0.26
EGY.AX,3.87M,0.014
EHE.AX,1.06B,5.84
EHL.AX,19.19M,0.032
ELD.AX,322.38M,3.85
ELK.AX,24.96M,0.095
ELM.AX,77.95M,0.19
ELR.AX,2.08B,0.021
ELT.AX,4.60M,0.006
ELX.AX,88.61M,0.82
EMB.AX,17.69M,8.20
EMC.AX,89.61M,0.505
EME.AX,19.92M,0.095
EMF.AX,168.91B,1.81
EMG.AX,2.72M,0.012
EMH.AX,23.07M,0.265
EML.AX,283.20M,1.48
EMR.AX,32.66M,0.025
EMU.AX,4.97M,0.066
EMX.AX,24.97M,0.041
ENA.AX,10.86M,0.19
ENB.AX,3.65M,0.014
ENC.AX,89.46B,0.345
ENL.AX,N/A,0.003
ENN.AX,133.52M,1.89
ENR.AX,18.68M,0.12
ENT.AX,4.45M,0.015
ENU.AX,6.11M,0.079
ENX.AX,696878.00,0.013
ENZ.AX,22.91M,0.24
EOL.AX,5.93M,0.32
EOR.AX,8.06M,0.012
EOS.AX,68.21M,1.20
EPA.AX,4.46M,0.003
EPD.AX,43.35M,0.37
EPM.AX,7.97M,0.009
EPW.AX,326.42M,1.35
EPX.AX,130.29M,1.88
EQE.AX,2.61M,0.006
EQT.AX,280.95M,14.15
EQU.AX,735.93B,37.50
EQX.AX,41.07M,0.33
ERA.AX,178.62M,0.345
ERJ.AX,13.20M,0.023
ERL.AX,7.00M,0.026
ERM.AX,15.89M,0.042
ERX.AX,13.65M,0.15
ESI.AX,36.66M,0.014
ESK.AX,3.20M,0.10
ESM.AX,1.50M,0.013
ESR.AX,3.73M,0.024
ESV.AX,24.19M,0.091
ETE.AX,4.60M,0.009
EUG.AX,N/A,0.03
EUM.AX,1.21M,0.026
EVE.AX,5.98M,0.009
EVM.AX,57.67M,0.10
