FNT.AX,1.01M,0.031
FOY.AX,5.74M,0.125
FRE.AX,865659.06,0.001
FRN.AX,759000.00,0.024
FRX.AX,28.23M,0.15
FTZ.AX,11.87M,0.20
FUN.AX,12.01M,0.018
FYI.AX,5.70M,0.07
FZR.AX,15.89M,0.175
G8C.AX,1.72M,0.043
GBA.AX,765825.00,0.025
GBE.AX,10.33M,0.022
GBG.AX,32.90M,0.022
GBI.AX,21.42M,0.215
GBM.AX,9.46M,0.01
GBP.AX,5.94M,0.03
GBX.AX,4.53M,0.005
GBZ.AX,8.39M,0.014
GCN.AX,757057.00,0.007
GCR.AX,3.03M,0.03
GDY.AX,14.08M,0.025
GED.AX,724598.00,0.007
GER.AX,18.23M,0.07
GES.AX,18.04M,0.06
GFL.AX,12.05M,1.405
GFY.AX,47.31M,1.165
GGE.AX,3.74M,0.005
GGG.AX,23.63M,0.03
GGH.AX,1.50M,0.002
GGX.AX,2.43M,0.003
GID.AX,8.55M,0.018
GLA.AX,925254.06,0.002
GLB.AX,48.54M,1.17
GLF.AX,24.55M,0.009
GLH.AX,14.76M,0.45
GLL.AX,11.52M,0.076
GLN.AX,4.83M,0.008
GMC.AX,576027.00,0.003
GMD.AX,8.49M,0.019
GME.AX,15.23M,0.033
GML.AX,4.69M,0.016
GMN.AX,7.79M,0.038
GMR.AX,7.19M,0.005
GMY.AX,13.47M,0.86
GNX.AX,23.76M,0.15
GOE.AX,26.69M,0.027
GPH.AX,10.96M,0.11
GPP.AX,647255.00,0.007
GPR.AX,31.98M,0.04
GRB.AX,20.04M,0.047
GRV.AX,3.17M,0.034
GSC.AX,36.21M,0.006
GSE.AX,597261.00,0.051
GSS.AX,36.12M,0.495
GTE.AX,3.75M,0.017
GTG.AX,34.31M,0.02
GTR.AX,648660.00,0.01
GUL.AX,2.57M,0.02
GWR.AX,9.93M,0.041
GXN.AX,2.69M,0.001
HAO.AX,38.03M,0.20
HAR.AX,780328.06,0.002
HAS.AX,34.61M,0.09
HAW.AX,6.85M,0.04
HCH.AX,34.24M,0.081
HCT.AX,29.26M,0.185
HDX.AX,18.99M,0.091
HEG.AX,2.44M,0.002
HGL.AX,7.03M,0.027
HGO.AX,7.71M,0.041
HHM.AX,4.14M,0.018
HHY.AX,9.75M,0.10
HIT.AX,7.76M,0.25
HJB.AX,3.16M,0.011
HLS.AX,902420.00,0.004
HLX.AX,17.72M,0.066
HMI.AX,8.23M,0.10
HML.AX,15.29M,0.98
HMX.AX,6.45M,0.059
HNG.AX,23.47M,0.435
HNR.AX,11.55M,0.016
HOG.AX,1.15M,0.004
HOM.AX,48.07M,0.455
HOR.AX,2.38M,0.014
HPR.AX,11.68M,0.07
HRL.AX,21.45M,0.135
HRR.AX,45.65M,0.11
HSK.AX,6.25M,0.027
HXG.AX,18.11M,0.078
HZR.AX,34.88M,0.57
IAB.AX,17.56M,0.875
IAU.AX,43.71M,0.125
IB8.AX,45.09M,0.40
IBG.AX,17.59M,0.039
ICG.AX,3.23M,0.003
ICI.AX,29.98M,0.145
ICN.AX,23.49M,0.039
ICS.AX,16.14M,1.53
ICT.AX,4.51M,0.062
ICU.AX,17.64M,0.13
IDO.AX,8.07M,0.015
IEC.AX,3.56M,0.01
IGS.AX,2.44M,0.003
IKW.AX,3.05M,0.003
IMA.AX,16.03M,0.08
IMC.AX,25.98M,0.34
IMU.AX,19.05M,0.011
IND.AX,2.52M,0.016
INL.AX,1.90M,0.006
IOG.AX,8.85M,0.054
IPB.AX,1.14M,0.01
IPC.AX,2.09M,0.72
IPE.AX,31.36M,0.23
IPT.AX,19.13M,0.027
IQ3.AX,32.07M,0.315
IQE.AX,34.92M,0.35
IRC.AX,17.91M,0.115
IRL.AX,2.92M,0.003
IRM.AX,3.26M,0.024
ISH.AX,19.99M,0.22
ITD.AX,17.94M,0.19
