"TV2.AX",11.81M,0.031
"TWD.AX",74.12M,2.90
"TWE.AX",6.98B,10.11
"TWH.AX",7.83M,0.013
"TWR.AX",280.47M,1.65
"TYK.AX",2.28M,0.008
"TYX.AX",8.34M,0.034
"TZL.AX",46.56M,0.10
"TZN.AX",251.31M,0.14
"UBI.AX",49.34M,0.28
"UBN.AX",91.84M,0.38
"UCM.AX",21.78M,0.225
"UCW.AX",5.06M,0.06
"UEQ.AX",3.09M,0.005
"UGL.AX",516.23M,3.17
"UIL.AX",6.91M,0.064
"UML.AX",3.87B,0.032
"UNS.AX",72.33M,0.083
"UNV.AX",98.80M,0.195
"UOS.AX",595.78M,0.485
"UPD.AX",87.64B,0.205
"UPG.AX",37.77M,1.055
"URF.AX",642.16B,2.22
"URI.AX",11.56M,2.24
"USA.AX",3.33M,0.018
"USF.AX",86.61B,2.22
"USG.AX",125.28B,2.27
"USH.AX",N/A,0.098
"USR.AX",7.23B,0.54
"UUL.AX",382500.00,0.015
"VAH.AX",966.73M,0.275
"VAN.AX",19.38M,0.065
"VAR.AX",7.51M,0.02
"VBS.AX",31.42M,1.45
"VCD.AX",N/A,N/A
"VCX.AX",13.26B,3.35
"VEC.AX",5.40M,0.004
"VEL.AX",N/A,N/A
"VET.AX",N/A,0.12
"VGL.AX",N/A,5.25
"VGR.AX",N/A,N/A
"VHT.AX",52.66M,0.43
"VIA.AX",72.04M,2.35
"VIC.AX",N/A,0.004
"VIE.AX",N/A,0.036
"VIG.AX",51.96M,0.10
"VII.AX",28.46M,0.20
"VIP.AX",487499.97,0.195
"VIT.AX",274.81M,1.975
"VKA.AX",4.52M,0.018
"VLA.AX",186.94M,0.81
"VLW.AX",240.55M,2.18
"VMC.AX",12.23M,0.215
"VMG.AX",19.31M,0.004
"VML.AX",7.18M,0.021
"VMP.AX",N/A,N/A
"VMS.AX",12.91M,0.045
"VMT.AX",30.83M,0.195
"VMX.AX",11.87M,0.145
"VMY.AX",72.93M,0.32
"VOC.AX",2.03B,8.95
"VPC.AX",20.66M,0.043
"VRC.AX",28.01M,0.049
"VRL.AX",809.08M,5.14
"VRT.AX",538.76M,6.74
"VRX.AX",3.03M,0.022
"VSC.AX",85.80M,1.50
"VTG.AX",514.59M,3.40
"VTM.AX",4.57M,0.02
"VXL.AX",N/A,0.115
"VXR.AX",8.73M,0.005
"WAA.AX",35.61M,1.02
"WAF.AX",63.32M,0.205
"WAK.AX",N/A,0.361
"WAL.AX",452532.03,0.004
"WAM.AX",992.17M,2.12
"WAT.AX",44.43M,1.19
"WAX.AX",229.90B,1.32
"WBA.AX",381.01M,1.10
"WBC.AX",99.10B,29.79
"WCB.AX",516.42M,8.95
"WCC.AX",N/A,0.036
"WCN.AX",7.61M,0.007
"WCP.AX",9.95M,0.025
"WCT.AX",N/A,N/A
"WDE.AX",99.36B,0.79
"WDS.AX",N/A,0.105
"WEB.AX",490.94M,6.08
"WEC.AX",29.55M,0.09
"WEF.AX",N/A,N/A
"WEJ.AX",N/A,N/A
"WEK.AX",N/A,N/A
"WEL.AX",17.23M,0.08
"WES.AX",47.88B,42.52
"WFD.AX",21.82B,10.50
"WFE.AX",853754.00,0.002
"WGL.AX",17.12M,0.032
"WGO.AX",4.23M,0.009
"WHC.AX",715.13M,0.73
"WHF.AX",343.13M,4.30
"WHN.AX",5.55M,0.001
"WIC.AX",103.40M,0.80
"WIG.AX",114.95M,1.04
"WIN.AX",10.27M,0.095
"WKT.AX",5.51M,0.004
"WLC.AX",27.58M,0.004
"WLD.AX",316.00M,0.79
"WLE.AX",N/A,N/A
"WLF.AX",117.38M,0.145
"WLL.AX",195.95M,5.00
"WMC.AX",37.99M,0.25
"WMK.AX",88.86B,1.02
"WMN.AX",7.35M,0.031
"WNR.AX",N/A,0.28
"WNS.AX",N/A,0.01
"WOF.AX",2.15M,0.007
"WOR.AX",1.43B,5.76
"WOW.AX",28.37B,22.37
"WPG.AX",34.87M,0.087
"WPL.AX",22.21B,26.96
"WQW.AX",N/A,N/A
"WRG.AX",8.35M,0.002
"WRM.AX",4.62M,0.017
"WRR.AX",10.58M,0.245
"WSA.AX",412.44M,2.08
"WSC.AX",N/A,N/A
"WSD.AX",N/A,N/A
"WSG.AX",N/A,0.013
"WSH.AX",N/A,N/A
"WSJ.AX",N/A,N/A
"WSN.AX",N/A,N/A
"WSO.AX",N/A,N/A
"WSQ.AX",N/A,N/A
"WSZ.AX",N/A,N/A
"WTC.AX",1.16B,4.59
"WTP.AX",147.01M,0.78
"WTR.AX",23.02M,0.05
"WVL.AX",3.14M,0.007
"WWI.AX",8.67M,0.019
"XAM.AX",102.42M,0.23
"XCL.AX",N/A,N/A
"XF1.AX",38.82B,0.43
"XIP.AX",123.06M,3.75
"XPD.AX",69.01M,0.18
"XPE.AX",N/A,0.05
"XQL.AX",N/A,N/A
"XRF.AX",23.42M,0.175
"XRO.AX",2.13B,15.70
"XST.AX",3.09M,0.013
"XTD.AX",29.55M,0.23
"XTE.AX",11.54M,0.51
"XTV.AX",12.48M,0.011
"XVG.AX",N/A,N/A
"YAL.AX",75.56M,0.076
"YBR.AX",70.98M,0.255
"YCN.AX",N/A,N/A
"YHL.AX",N/A,0.30
"YNB.AX",3.53M,0.049
"YOW.AX",166.55M,0.975
"YPB.AX",45.42M,0.265
"ZAM.AX",3.36M,0.052
"ZEL.AX",3.06B,7.76
"ZER.AX",17.00M,0.17
"ZEU.AX",3.96M,0.022
"ZGL.AX",36.91M,0.17
"ZGM.AX",2.71M,0.004
"ZIM.AX",392.88M,3.65
"ZIP.AX",19.35M,0.235
"ZML.AX",106.89M,0.68
"ZNC.AX",14.79M,0.115
"ZRL.AX",454190.00,0.011
"ZTA.AX",435300.00,0.06
"ZYB.AX",386998.00,0.023
"ZYL.AX",N/A,0.007
